PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ECKHART (BERNARD),208,BASEBALL JR/SOFTBALL,OUTDOOR,1167245.09742,1905762.94408,"{'latitude': '41.896971', 'longitude': '-87.661179', 'needs_recoding': False}"
ECKHART (BERNARD),208,PLAYGROUND,OUTDOOR,1167390.6529000001,1905566.9238,"{'latitude': '41.89643', 'longitude': '-87.66065', 'needs_recoding': False}"
ECKHART (BERNARD),208,SPRAY FEATURE,OUTDOOR,1167442.7860000001,1905633.6539799999,"{'latitude': '41.896612', 'longitude': '-87.660456', 'needs_recoding': False}"
ECKHART (BERNARD),208,BASEBALL SR,OUTDOOR,1167036.5650200001,1906022.3582599999,"{'latitude': '41.897687', 'longitude': '-87.661937', 'needs_recoding': False}"
EDGEBROOK,335,BASKETBALL COURT,OUTDOOR,1139895.9185200001,1943020.67074,"{'latitude': '41.999754', 'longitude': '-87.760715', 'needs_recoding': False}"
EDGEBROOK,335,BASKETBALL COURT,OUTDOOR,1139853.6531799999,1943046.3317799999,"{'latitude': '41.999825', 'longitude': '-87.76087', 'needs_recoding': False}"
EDGEBROOK,335,BASEBALL JR/SOFTBALL,OUTDOOR,1140015.6043,1943269.57281,"{'latitude': '42.000435', 'longitude': '-87.760268', 'needs_recoding': False}"
EDGEBROOK,335,BASEBALL JR/SOFTBALL,OUTDOOR,1139822.8957,1943377.2117000001,"{'latitude': '42.000733', 'longitude': '-87.760975', 'needs_recoding': False}"
EDGEBROOK,335,BASEBALL JR/SOFTBALL,OUTDOOR,1139555.53468,1943552.5587899999,"{'latitude': '42.00122', 'longitude': '-87.761954', 'needs_recoding': False}"
EDGEBROOK,335,PLAYGROUND,OUTDOOR,1139775.8419900001,1943124.1885800001,"{'latitude': '42.00004', 'longitude': '-87.761154', 'needs_recoding': False}"
EDGEBROOK,335,BASEBALL SR,OUTDOOR,1139534.7013900001,1943163.67013,"{'latitude': '42.000153', 'longitude': '-87.76204', 'needs_recoding': False}"
EDISON (THOMAS ALVA),62,PLAYGROUND,OUTDOOR,1124500.59662,1944447.21218,"{'latitude': '42.003937', 'longitude': '-87.81732', 'needs_recoding': False}"
EDMONDS (MOLLY),391,PLAYGROUND PARK,OUTDOOR,1172467.9081600001,1864654.57124,"{'latitude': '41.784052', 'longitude': '-87.643209', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,BASKETBALL COURT,OUTDOOR,1181530.5550599999,1880678.43946,"{'latitude': '41.827819', 'longitude': '-87.609488', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,BASKETBALL COURT,OUTDOOR,1181463.0962100001,1880651.8108999999,"{'latitude': '41.827747', 'longitude': '-87.609736', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1181245.2439600001,1880839.3200399999,"{'latitude': '41.828267', 'longitude': '-87.61053', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,BASEBALL JR/SOFTBALL,OUTDOOR,1181432.91714,1880768.9763499999,"{'latitude': '41.828069', 'longitude': '-87.609843', 'needs_recoding': False}"
ELLIS (SAMUEL),1213,BASEBALL JR/SOFTBALL,OUTDOOR,1181090.2967600001,1880708.6185300001,"{'latitude': '41.827912', 'longitude': '-87.611102', 'needs_recoding': False}"
